ID,time,day of week,day of year,latitude,longitude
22029,11400,3,225,41.724958867,-87.630302412
24064,65940,2,224,41.965177134,-87.673684908
22028,84780,1,223,41.657215827,-87.603140417
22221,60,1,223,41.808097829,-87.705724716
22027,49740,0,222,41.864663432,-87.712932753
22026,84360,6,221,41.859777475,-87.732322122
22023,85920,4,219,41.777216063,-87.662925863
22022,9720,4,219,41.68157034,-87.619499704
22021,70980,3,218,41.695615506,-87.636436642
22020,67920,3,218,41.695615506,-87.636436642
22018,8940,3,218,41.696746452,-87.655757884
22017,85740,2,217,41.901558034,-87.765633246
22016,24900,2,217,41.756927283,-87.673322259
22025,60,1,216,41.863459158,-87.652462374
22024,60,0,215,41.81504317,-87.669996658
22014,34800,6,214,41.81648957,-87.594914218
22013,18000,6,214,41.680888377,-87.626382106
22012,5880,6,214,41.905072512,-87.746889161
22011,600,4,212,41.733083674,-87.549942225
22006,14400,3,211,41.676298724,-87.616014618
22001,53880,1,209,41.876329051,-87.668276406
21999,73680,6,207,41.839629644,-87.72928862
21998,36840,6,207,41.747587631,-87.557673948
21996,9240,6,207,41.892603612,-87.722329283
21997,9240,6,207,41.892603612,-87.722329283
21995,84120,5,206,41.762318317,-87.597621239
21994,2820,5,206,41.888659323,-87.749066571
21993,67500,4,205,41.865108577,-87.73370765
10164471,60480,3,204,41.944279991,-87.766698991
21992,77940,1,202,41.78690669,-87.625500912
21991,85200,0,201,42.01656745,-87.674129267
21990,60,6,200,41.890358524,-87.722273552
21989,17940,5,199,41.758903325,-87.635723013
10156667,11820,5,199,41.88693095,-87.63018934
21988,4800,5,199,41.867262482,-87.713994347
21984,62580,4,198,41.965248952,-87.73856815
21985,62580,4,198,41.965248952,-87.73856815
21983,52200,4,198,41.99969642,-87.680892445
22015,25980,4,198,41.874370513,-87.724335186
21982,16980,4,198,41.947526838,-87.715192046
21980,1020,3,197,41.904323426,-87.758302186
21979,75600,2,196,41.888656952,-87.749140044
21978,66600,2,196,41.923694334,-87.78452659
21977,17880,0,194,41.847670913,-87.706351061
21976,62460,6,193,41.742883417,-87.549515319
21975,52680,5,192,41.78046301,-87.601399238
21974,52680,5,192,41.754824938,-87.562655411
21972,13140,5,192,41.770215063,-87.626699872
21973,12600,5,192,41.878244691,-87.754988896
21981,6300,5,192,41.886368384,-87.758959007
21971,86100,4,191,41.757649233,-87.607815887
22019,61440,4,191,41.883011351,-87.685084811
21970,80640,3,190,41.774921124,-87.588832615
21969,79080,3,190,41.799031303,-87.644064187
21968,63060,2,189,41.748835188,-87.614907186
21967,11340,2,189,41.893709795,-87.708101045
21966,39060,1,188,41.751613063,-87.575285908
21965,63120,0,187,41.749321118,-87.571069245
21962,61200,6,186,41.727043911,-87.586696743
21959,25200,6,186,41.733162723,-87.659339424
21960,22200,6,186,41.733162723,-87.659339424
21963,18000,6,186,41.867608045,-87.698376638
21961,14640,6,186,41.962126133,-87.713172111
21964,6960,6,186,41.901427038,-87.725044239
21958,4740,6,186,41.756330319,-87.552716204
22337,57600,5,185,41.743299025,-87.602579976
22335,57600,5,185,41.743299025,-87.602579976
22336,57600,5,185,41.743299025,-87.602579976
